epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.0787,0.99962,0.63306,1,0.77692,0.000470858,0.000470858,0.000470858
2,101.318,0.8908,0.64516,1,0.73706,0.00094094,0.00094094,0.00094094
3,150.202,0.89821,0.61694,1,0.78876,0.00140473,0.00140473,0.00140473
4,198.142,0.84305,0.63306,1,0.73907,0.00140071,0.00140071,0.00140071
5,246.04,0.81826,0.59677,1,0.80878,0.00139127,0.00139127,0.00139127
6,295.557,0.79321,0.69355,1,0.71606,0.00138184,0.00138184,0.00138184
7,344.283,0.80123,0.64516,1,0.7486,0.00137241,0.00137241,0.00137241
8,394.155,0.7552,0.6129,1,0.89374,0.00136298,0.00136298,0.00136298
9,441.6,0.71123,0.63306,1,0.75574,0.00135355,0.00135355,0.00135355
10,489.574,0.70434,0.60484,1,0.81006,0.00134412,0.00134412,0.00134412
11,538.01,0.66683,0.60081,1,0.85291,0.00133469,0.00133469,0.00133469
12,584.999,0.63758,0.64113,1,0.85266,0.00132525,0.00132525,0.00132525
13,634.39,0.60694,0.65726,1,0.80563,0.00131582,0.00131582,0.00131582
14,684.254,0.59028,0.64919,1,0.7666,0.00130639,0.00130639,0.00130639
15,733.78,0.60802,0.56452,1,0.98828,0.00129696,0.00129696,0.00129696
16,781.143,0.54681,0.60887,1,0.93176,0.00128753,0.00128753,0.00128753
17,831.12,0.52618,0.71774,1,0.71051,0.0012781,0.0012781,0.0012781
18,881.553,0.52964,0.67742,1,0.85471,0.00126867,0.00126867,0.00126867
19,932.529,0.52253,0.70968,1,0.81372,0.00125923,0.00125923,0.00125923
20,982.63,0.49217,0.62903,1,0.84784,0.0012498,0.0012498,0.0012498
21,1034.65,0.45597,0.62903,1,0.93488,0.00124037,0.00124037,0.00124037
22,1083.86,0.41603,0.66129,1,0.80103,0.00123094,0.00123094,0.00123094
23,1132.89,0.41571,0.62903,1,0.90887,0.00122151,0.00122151,0.00122151
24,1180.83,0.40354,0.6129,1,1.04034,0.00121208,0.00121208,0.00121208
25,1230,0.40067,0.62097,1,1.0835,0.00120265,0.00120265,0.00120265
26,1276.88,0.40539,0.64113,1,1.07495,0.00119322,0.00119322,0.00119322
27,1326.3,0.37153,0.62903,1,1.02301,0.00118378,0.00118378,0.00118378
28,1375.22,0.32824,0.63306,1,1.02716,0.00117435,0.00117435,0.00117435
29,1424.7,0.34131,0.64516,1,1.16144,0.00116492,0.00116492,0.00116492
30,1472.01,0.34755,0.6129,1,1.17957,0.00115549,0.00115549,0.00115549
31,1520.79,0.32026,0.61694,1,1.13928,0.00114606,0.00114606,0.00114606
32,1568.47,0.28208,0.64113,1,1.15942,0.00113663,0.00113663,0.00113663
33,1615.71,0.34131,0.69758,1,1.14368,0.0011272,0.0011272,0.0011272
34,1664.01,0.33136,0.58065,1,1.24683,0.00111776,0.00111776,0.00111776
35,1713.14,0.30906,0.6129,1,1.15375,0.00110833,0.00110833,0.00110833
36,1762.02,0.24657,0.6129,1,1.22131,0.0010989,0.0010989,0.0010989
37,1810.27,0.2914,0.65726,1,1.21454,0.00108947,0.00108947,0.00108947
